datetime,2096287_LEVEL,2096287_TEMPERATURE,2096282_LEVEL,2096282_TEMPERATURE,2095778_LEVEL,2095778_TEMPERATURE,2094825_LEVEL,2094825_TEMPERATURE,2096276_LEVEL,2096276_TEMPERATURE,2087805_LEVEL,2087805_TEMPERATURE,2084966_LEVEL,2084966_TEMPERATURE,2095028_LEVEL,2095028_TEMPERATURE,2083447_LEVEL,2083447_TEMPERATURE,2096272_LEVEL,2096272_TEMPERATURE,2095779_LEVEL,2095779_TEMPERATURE,2093378_LEVEL,2093378_TEMPERATURE,2095772_LEVEL,2095772_TEMPERATURE,2096267_LEVEL,2096267_TEMPERATURE,2084838_LEVEL,2084838_TEMPERATURE
2018-11-16 17:00:00,99.9651,20.928,98.5076,20.07,99.1973,11.994000000000002,99.2868,20.262,98.5106,22.781,99.007,22.4,99.103,23.3,106.519,21.368000000000002,227.462,20.912,99.0605,11.218,142.275,20.44,98.6052,16.983,99.1953,14.935,109.596,21.635,105.921,17.8
2018-11-16 17:15:00,99.9814,20.927,98.5156,20.059,99.2069,12.023,99.2929,20.257,98.517,22.781,99.001,22.3,99.116,23.3,106.53,21.366999999999997,227.465,20.913,99.0719,11.062999999999999,142.276,20.44,98.6117,16.987000000000002,99.2027,14.915,109.606,21.635,105.929,17.8
2018-11-16 17:30:00,99.9907,20.928,98.5176,20.049,99.208,12.03,99.2987,20.253,98.5197,22.781,99.007,22.3,99.117,23.3,106.531,21.368000000000002,227.47,20.912,99.0711,10.887,142.268,20.44,98.6125,16.991,99.207,14.894,109.609,21.634,105.93700000000001,17.8
2018-11-16 17:45:00,99.9878,20.927,98.5084,20.039,99.2034,12.014000000000001,99.2888,20.249000000000002,98.5143,22.78,98.995,22.3,99.111,23.3,106.532,21.368000000000002,227.43,20.912,99.0637,10.708,142.251,20.44,98.6073,16.996,99.1989,14.888,109.612,21.634,105.931,17.8
2018-11-16 18:00:00,100.006,20.928,98.5197,20.03,99.213,11.985999999999999,99.3009,20.245,98.5201,22.78,99.008,22.3,99.117,23.3,106.53,21.368000000000002,227.442,20.912,99.0708,10.532,142.252,20.441,98.616,17.002,99.2083,14.887,109.614,21.633000000000003,105.93700000000001,17.8
2018-11-16 18:15:00,100.042,20.928,98.5214,20.023,99.2171,11.967,99.3077,20.242,98.5225,22.78,99.01700000000001,22.3,99.124,23.3,106.528,21.368000000000002,227.423,20.912,99.0759,10.357999999999999,142.244,20.441,98.6188,17.01,99.2132,14.88,109.61,21.633000000000003,105.945,17.8
2018-11-16 18:30:00,100.041,20.928,98.5332,20.012,99.2255,11.960999999999999,99.3158,20.238,98.5314,22.779,99.023,22.3,99.135,23.3,106.562,21.366999999999997,227.412,20.912,99.0808,10.193999999999999,142.234,20.441,98.6281,17.017,99.22,14.877,109.646,21.631999999999998,105.954,17.8
2018-11-16 18:45:00,100.038,20.929000000000002,98.5353,20.004,99.2364,11.97,99.3243,20.234,98.5425,22.779,99.037,22.3,99.147,23.3,106.551,21.368000000000002,227.425,20.912,99.0902,10.033999999999999,142.225,20.441,98.6356,17.025,99.2315,14.868,109.651,21.631999999999998,105.96700000000001,17.8
2018-11-16 19:00:00,100.035,20.928,98.5455,19.998,99.245,11.97,99.3366,20.23,98.5475,22.778000000000002,99.041,22.3,99.15299999999999,23.3,106.556,21.366999999999997,227.434,20.912,99.0988,9.885,142.214,20.441,98.6418,17.033,99.2421,14.863,109.662,21.631,105.977,17.8
2018-11-16 19:15:00,100.046,20.928,98.5561,19.989,99.2535,11.975999999999999,99.3422,20.226,98.5587,22.776999999999997,99.051,22.3,99.161,23.3,106.572,21.366999999999997,227.443,20.913,99.1036,9.732000000000001,142.212,20.442,98.6492,17.041,99.2474,14.853,109.695,21.63,105.984,17.8
2018-11-16 19:30:00,100.057,20.928,98.5651,19.98,99.266,11.972999999999999,99.3563,20.222,98.5688,22.776999999999997,99.061,22.3,99.175,23.3,106.591,21.366999999999997,227.442,20.912,99.1186,9.588,142.205,20.442,98.6636,17.05,99.2603,14.845,109.724,21.629,105.986,17.7
2018-11-16 19:45:00,100.074,20.929000000000002,98.5684,19.975,99.2732,11.974,99.3618,20.217,98.5747,22.776999999999997,99.072,22.3,99.181,23.3,106.588,21.366,227.436,20.913,99.1228,9.458,142.189,20.442,98.6708,17.058,99.2667,14.839,109.737,21.629,105.994,17.7
2018-11-16 20:00:00,100.077,20.928,98.5764,19.968,99.2741,11.97,99.3632,20.214000000000002,98.5777,22.776,99.074,22.3,99.182,23.3,106.606,21.366,227.454,20.913,99.1216,9.325,142.174,20.442,98.6727,17.067,99.2672,14.835,109.751,21.628,105.99600000000001,17.7
2018-11-16 20:15:00,100.082,20.929000000000002,98.5765,19.961,99.2782,11.958,99.3729,20.209,98.5787,22.775,99.07799999999999,22.3,99.189,23.3,106.602,21.366,227.466,20.912,99.1297,9.192,142.158,20.442,98.6736,17.075,99.2753,14.824000000000002,109.758,21.628,106.00399999999999,17.7
