Serial_number:
2096265
Project ID:

Location:

LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2018/11/16,17:00:00,0,99.2107,12.025
2018/11/16,17:15:00,0,99.2189,11.107
2018/11/16,17:30:00,0,99.2221,10.297
2018/11/16,17:45:00,0,99.2098,9.721
2018/11/16,18:00:00,0,99.2253,9.166
2018/11/16,18:15:00,0,99.2274,8.680
2018/11/16,18:30:00,0,99.2357,8.431
2018/11/16,18:45:00,0,99.2461,7.804
2018/11/16,19:00:00,0,99.2545,7.395
2018/11/16,19:15:00,0,99.2625,7.195
2018/11/16,19:30:00,0,99.2709,6.952
2018/11/16,19:45:00,0,99.2809,6.626
2018/11/16,20:00:00,0,99.2828,6.155
2018/11/16,20:15:00,0,99.2844,6.064
2018/11/16,20:30:00,0,99.2865,5.932
2018/11/16,20:45:00,0,99.2988,5.491
2018/11/16,21:00:00,0,99.3059,5.240
2018/11/16,21:15:00,0,99.3030,5.549
2018/11/16,21:30:00,0,99.3156,5.057
2018/11/16,21:45:00,0,99.3241,4.930
2018/11/16,22:00:00,0,99.3343,4.610
2018/11/16,22:15:00,0,99.3304,4.554
2018/11/16,22:30:00,0,99.3287,4.327
2018/11/16,22:45:00,0,99.3333,4.322
2018/11/16,23:00:00,0,99.3370,4.292
2018/11/16,23:15:00,0,99.3418,4.088
2018/11/16,23:30:00,0,99.3473,3.868
2018/11/16,23:45:00,0,99.3503,3.581
2018/11/17,00:00:00,0,99.3602,3.425
2018/11/17,00:15:00,0,99.3547,3.425
2018/11/17,00:30:00,0,99.3605,3.244
2018/11/17,00:45:00,0,99.3604,3.370
2018/11/17,01:00:00,0,99.3706,3.158
2018/11/17,01:15:00,0,99.3724,3.042
2018/11/17,01:30:00,0,99.3671,2.936
2018/11/17,01:45:00,0,99.3748,2.710
2018/11/17,02:00:00,0,99.3719,2.450
2018/11/17,02:15:00,0,99.3787,2.600
2018/11/17,02:30:00,0,99.3853,2.330
2018/11/17,02:45:00,0,99.3877,2.155
2018/11/17,03:00:00,0,99.3858,2.228
2018/11/17,03:15:00,0,99.3854,1.932
2018/11/17,03:30:00,0,99.3967,2.147
2018/11/17,03:45:00,0,99.3950,1.806
2018/11/17,04:00:00,0,99.4001,1.699
2018/11/17,04:15:00,0,99.4011,1.730
2018/11/17,04:30:00,0,99.4038,1.097
2018/11/17,04:45:00,0,99.4062,1.131
2018/11/17,05:00:00,0,99.4116,0.934
2018/11/17,05:15:00,0,99.4217,0.848
2018/11/17,05:30:00,0,99.4274,0.678
2018/11/17,05:45:00,0,99.4248,0.637
2018/11/17,06:00:00,0,99.4329,0.738
2018/11/17,06:15:00,0,99.4444,0.336
2018/11/17,06:30:00,0,99.4479,0.261
2018/11/17,06:45:00,0,99.4514,0.167
2018/11/17,07:00:00,0,99.4607,0.309
2018/11/17,07:15:00,0,99.4716,0.560
2018/11/17,07:30:00,0,99.4909,0.682
2018/11/17,07:45:00,0,99.5027,1.172
2018/11/17,08:00:00,0,99.5193,1.984
2018/11/17,08:15:00,0,99.5373,2.785
2018/11/17,08:30:00,0,99.5467,3.748
2018/11/17,08:45:00,0,99.5687,4.746
2018/11/17,09:00:00,0,99.5776,6.022
2018/11/17,09:15:00,0,99.5743,7.295
2018/11/17,09:30:00,0,99.5838,8.537
2018/11/17,09:45:00,0,99.5891,9.576
2018/11/17,10:00:00,0,99.5764,10.513
2018/11/17,10:15:00,0,99.5692,12.159
2018/11/17,10:30:00,0,99.5606,13.804
2018/11/17,10:45:00,0,99.5595,14.802
2018/11/17,11:00:00,0,99.5462,15.797
2018/11/17,11:15:00,0,99.5342,17.284
2018/11/17,11:30:00,0,99.5257,17.967
2018/11/17,11:45:00,0,99.5016,18.758
2018/11/17,12:00:00,0,99.4856,19.217
2018/11/17,12:15:00,0,99.4492,19.196
2018/11/17,12:30:00,0,99.4452,19.356
2018/11/17,12:45:00,0,99.4350,19.711
2018/11/17,13:00:00,0,99.3856,20.790
2018/11/17,13:15:00,0,99.3901,20.289
2018/11/17,13:30:00,0,99.3771,20.856
2018/11/17,13:45:00,0,99.3590,21.590
2018/11/17,14:00:00,0,99.3729,21.752
2018/11/17,14:15:00,0,99.3530,21.794
2018/11/17,14:30:00,0,99.3551,20.124
2018/11/17,14:45:00,0,99.3349,20.910
2018/11/17,15:00:00,0,99.3367,19.649
2018/11/17,15:15:00,0,99.3356,18.613
2018/11/17,15:30:00,0,99.3350,17.644
2018/11/17,15:45:00,0,99.3330,17.187
2018/11/17,16:00:00,0,99.3311,16.689
2018/11/17,16:15:00,0,99.3399,15.434
2018/11/17,16:30:00,0,99.3491,14.403
2018/11/17,16:45:00,0,99.3522,12.860
2018/11/17,17:00:00,0,99.3496,11.826
2018/11/17,17:15:00,0,99.3491,10.677
2018/11/17,17:30:00,0,99.3653,9.907
2018/11/17,17:45:00,0,99.3742,9.211
2018/11/17,18:00:00,0,99.3679,8.959
2018/11/17,18:15:00,0,99.3798,8.190
2018/11/17,18:30:00,0,99.3827,7.566
2018/11/17,18:45:00,0,99.3875,7.122
2018/11/17,19:00:00,0,99.4008,6.917
2018/11/17,19:15:00,0,99.4105,6.167
2018/11/17,19:30:00,0,99.4157,5.792
2018/11/17,19:45:00,0,99.4303,5.507
2018/11/17,20:00:00,0,99.4409,5.394
2018/11/17,20:15:00,0,99.4613,5.465
2018/11/17,20:30:00,0,99.4749,5.031
2018/11/17,20:45:00,0,99.4785,4.690
2018/11/17,21:00:00,0,99.4923,4.534
2018/11/17,21:15:00,0,99.5009,4.260
2018/11/17,21:30:00,0,99.5057,4.181
2018/11/17,21:45:00,0,99.5147,3.854
2018/11/17,22:00:00,0,99.5194,3.811
2018/11/17,22:15:00,0,99.5270,3.991
2018/11/17,22:30:00,0,99.5305,3.537
2018/11/17,22:45:00,0,99.5328,3.284
2018/11/17,23:00:00,0,99.5367,3.097
2018/11/17,23:15:00,0,99.5372,3.180
2018/11/17,23:30:00,0,99.5382,3.028
2018/11/17,23:45:00,0,99.5403,2.996
2018/11/18,00:00:00,0,99.5461,3.145
2018/11/18,00:15:00,0,99.5482,2.876
2018/11/18,00:30:00,0,99.5555,2.864
2018/11/18,00:45:00,0,99.5528,2.802
2018/11/18,01:00:00,0,99.5609,2.766
2018/11/18,01:15:00,0,99.5744,2.829
2018/11/18,01:30:00,0,99.5713,2.776
2018/11/18,01:45:00,0,99.5754,2.570
2018/11/18,02:00:00,0,99.5751,2.303
2018/11/18,02:15:00,0,99.5753,2.437
2018/11/18,02:30:00,0,99.5757,2.334
2018/11/18,02:45:00,0,99.5796,2.224
2018/11/18,03:00:00,0,99.5779,2.086
2018/11/18,03:15:00,0,99.5804,2.103
2018/11/18,03:30:00,0,99.5754,2.067
2018/11/18,03:45:00,0,99.5782,1.671
2018/11/18,04:00:00,0,99.5853,1.547
2018/11/18,04:15:00,0,99.5878,1.665
2018/11/18,04:30:00,0,99.5851,1.639
2018/11/18,04:45:00,0,99.5859,1.559
2018/11/18,05:00:00,0,99.5996,1.269
2018/11/18,05:15:00,0,99.6063,1.534
2018/11/18,05:30:00,0,99.6072,1.322
2018/11/18,05:45:00,0,99.6154,1.265
2018/11/18,06:00:00,0,99.6200,1.000
2018/11/18,06:15:00,0,99.6351,1.081
2018/11/18,06:30:00,0,99.6317,1.086
2018/11/18,06:45:00,0,99.6501,0.845
2018/11/18,07:00:00,0,99.6515,0.776
2018/11/18,07:15:00,0,99.6643,0.920
2018/11/18,07:30:00,0,99.6869,1.261
2018/11/18,07:45:00,0,99.6957,1.893
2018/11/18,08:00:00,0,99.7126,2.503
2018/11/18,08:15:00,0,99.7236,3.320
2018/11/18,08:30:00,0,99.7396,4.202
2018/11/18,08:45:00,0,99.7537,5.271
2018/11/18,09:00:00,0,99.7757,6.643
2018/11/18,09:15:00,0,99.7807,7.857
2018/11/18,09:30:00,0,99.7701,8.715
2018/11/18,09:45:00,0,99.7655,9.914
2018/11/18,10:00:00,0,99.7595,11.311
2018/11/18,10:15:00,0,99.7307,13.437
2018/11/18,10:30:00,0,99.7126,14.715
2018/11/18,10:45:00,0,99.7057,15.749
2018/11/18,11:00:00,0,99.6909,16.254
2018/11/18,11:15:00,0,99.6672,16.959
2018/11/18,11:30:00,0,99.6481,17.258
2018/11/18,11:45:00,0,99.6371,18.206
2018/11/18,12:00:00,0,99.6056,18.456
2018/11/18,12:15:00,0,99.5920,18.643
2018/11/18,12:30:00,0,99.5725,18.822
2018/11/18,12:45:00,0,99.5611,19.098
2018/11/18,13:00:00,0,99.4882,20.314
2018/11/18,13:15:00,0,99.4978,19.752
2018/11/18,13:30:00,0,99.4863,19.864
2018/11/18,13:45:00,0,99.4763,21.441
2018/11/18,14:00:00,0,99.4729,20.335
2018/11/18,14:15:00,0,99.4615,20.417
2018/11/18,14:30:00,0,99.4655,19.748
2018/11/18,14:45:00,0,99.4604,20.675
2018/11/18,15:00:00,0,99.4433,19.455
2018/11/18,15:15:00,0,99.4319,18.640
2018/11/18,15:30:00,0,99.4359,17.934
2018/11/18,15:45:00,0,99.4370,17.590
2018/11/18,16:00:00,0,99.4424,16.992
2018/11/18,16:15:00,0,99.4419,15.740
2018/11/18,16:30:00,0,99.4449,13.748
2018/11/18,16:45:00,0,99.4462,12.451
2018/11/18,17:00:00,0,99.4385,11.245
2018/11/18,17:15:00,0,99.4414,10.413
2018/11/18,17:30:00,0,99.4511,9.773
2018/11/18,17:45:00,0,99.4481,9.388
2018/11/18,18:00:00,0,99.4554,8.760
2018/11/18,18:15:00,0,99.4716,8.107
2018/11/18,18:30:00,0,99.4678,7.913
2018/11/18,18:45:00,0,99.4780,7.744
2018/11/18,19:00:00,0,99.4941,7.212
2018/11/18,19:15:00,0,99.5021,6.694
2018/11/18,19:30:00,0,99.5180,6.451
2018/11/18,19:45:00,0,99.5325,5.723
2018/11/18,20:00:00,0,99.5457,6.040
2018/11/18,20:15:00,0,99.5508,5.564
2018/11/18,20:30:00,0,99.5565,5.506
2018/11/18,20:45:00,0,99.5780,5.202
2018/11/18,21:00:00,0,99.5764,4.779
2018/11/18,21:15:00,0,99.5940,4.668
2018/11/18,21:30:00,0,99.6140,4.675
2018/11/18,21:45:00,0,99.6179,4.508
2018/11/18,22:00:00,0,99.6324,4.522
2018/11/18,22:15:00,0,99.6339,3.982
2018/11/18,22:30:00,0,99.6306,3.599
2018/11/18,22:45:00,0,99.6337,4.004
2018/11/18,23:00:00,0,99.6440,3.703
2018/11/18,23:15:00,0,99.6360,3.181
2018/11/18,23:30:00,0,99.6387,3.346
2018/11/18,23:45:00,0,99.6418,3.037
2018/11/19,00:00:00,0,99.6355,2.767
2018/11/19,00:15:00,0,99.6377,2.624
2018/11/19,00:30:00,0,99.6363,2.711
2018/11/19,00:45:00,0,99.6294,2.572
2018/11/19,01:00:00,0,99.6354,2.560
2018/11/19,01:15:00,0,99.6272,2.292
2018/11/19,01:30:00,0,99.6240,2.300
2018/11/19,01:45:00,0,99.6273,2.045
2018/11/19,02:00:00,0,99.6270,1.966
2018/11/19,02:15:00,0,99.6275,1.590
2018/11/19,02:30:00,0,99.6280,1.707
2018/11/19,02:45:00,0,99.6212,1.591
2018/11/19,03:00:00,0,99.6139,1.498
2018/11/19,03:15:00,0,99.6089,1.236
2018/11/19,03:30:00,0,99.6050,1.307
2018/11/19,03:45:00,0,99.6047,1.219
2018/11/19,04:00:00,0,99.5892,1.588
2018/11/19,04:15:00,0,99.5828,1.361
2018/11/19,04:30:00,0,99.5802,1.339
2018/11/19,04:45:00,0,99.5820,1.376
2018/11/19,05:00:00,0,99.5905,1.611
2018/11/19,05:15:00,0,99.5887,2.326
2018/11/19,05:30:00,0,99.5939,2.504
2018/11/19,05:45:00,0,99.6049,2.373
2018/11/19,06:00:00,0,99.5952,1.998
2018/11/19,06:15:00,0,99.5978,1.641
2018/11/19,06:30:00,0,99.6089,1.623
2018/11/19,06:45:00,0,99.6187,1.656
2018/11/19,07:00:00,0,99.6187,1.398
2018/11/19,07:15:00,0,99.6323,1.342
2018/11/19,07:30:00,0,99.6542,1.752
2018/11/19,07:45:00,0,99.6557,2.209
2018/11/19,08:00:00,0,99.6586,3.061
2018/11/19,08:15:00,0,99.6679,3.465
2018/11/19,08:30:00,0,99.6752,4.129
2018/11/19,08:45:00,0,99.6903,5.476
2018/11/19,09:00:00,0,99.6841,7.536
2018/11/19,09:15:00,0,99.6875,9.149
2018/11/19,09:30:00,0,99.6841,9.657
2018/11/19,09:45:00,0,99.6827,10.642
2018/11/19,10:00:00,0,99.6765,12.113
2018/11/19,10:15:00,0,99.6615,13.739
2018/11/19,10:30:00,0,99.6467,15.290
2018/11/19,10:45:00,0,99.6450,16.045
2018/11/19,11:00:00,0,99.6244,16.964
2018/11/19,11:15:00,0,99.6097,17.913
2018/11/19,11:30:00,0,99.5810,18.568
2018/11/19,11:45:00,0,99.5663,19.142
2018/11/19,12:00:00,0,99.5426,20.042
2018/11/19,12:15:00,0,99.5291,20.429
2018/11/19,12:30:00,0,99.4895,20.744
