Serial_number:
2095779
Project ID:

Location:

LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2018/11/16,17:00:00,0,142.2750,20.440
2018/11/16,17:15:00,0,142.2760,20.440
2018/11/16,17:30:00,0,142.2680,20.440
2018/11/16,17:45:00,0,142.2510,20.440
2018/11/16,18:00:00,0,142.2520,20.441
2018/11/16,18:15:00,0,142.2440,20.441
2018/11/16,18:30:00,0,142.2340,20.441
2018/11/16,18:45:00,0,142.2250,20.441
2018/11/16,19:00:00,0,142.2140,20.441
2018/11/16,19:15:00,0,142.2120,20.442
2018/11/16,19:30:00,0,142.2050,20.442
2018/11/16,19:45:00,0,142.1890,20.442
2018/11/16,20:00:00,0,142.1740,20.442
2018/11/16,20:15:00,0,142.1580,20.442
2018/11/16,20:30:00,0,142.1350,20.443
2018/11/16,20:45:00,0,142.1160,20.443
2018/11/16,21:00:00,0,142.1030,20.444
2018/11/16,21:15:00,0,142.0810,20.444
2018/11/16,21:30:00,0,142.0760,20.444
2018/11/16,21:45:00,0,142.0650,20.445
2018/11/16,22:00:00,0,142.0600,20.445
2018/11/16,22:15:00,0,142.0350,20.445
2018/11/16,22:30:00,0,142.0200,20.445
2018/11/16,22:45:00,0,142.0080,20.445
2018/11/16,23:00:00,0,141.9930,20.445
2018/11/16,23:15:00,0,141.9830,20.445
2018/11/16,23:30:00,0,141.9760,20.445
2018/11/16,23:45:00,0,141.9680,20.446
2018/11/17,00:00:00,0,141.9630,20.446
2018/11/17,00:15:00,0,141.9460,20.446
2018/11/17,00:30:00,0,141.9430,20.446
2018/11/17,00:45:00,0,141.9300,20.446
2018/11/17,01:00:00,0,141.9330,20.446
2018/11/17,01:15:00,0,141.9350,20.447
2018/11/17,01:30:00,0,141.9230,20.447
2018/11/17,01:45:00,0,141.9300,20.447
2018/11/17,02:00:00,0,141.9280,20.448
2018/11/17,02:15:00,0,141.9270,20.448
2018/11/17,02:30:00,0,141.9310,20.448
2018/11/17,02:45:00,0,141.9390,20.448
2018/11/17,03:00:00,0,141.9330,20.448
2018/11/17,03:15:00,0,141.9230,20.448
2018/11/17,03:30:00,0,141.9170,20.448
2018/11/17,03:45:00,0,141.9090,20.449
