Serial_number:
2095028
Project ID:

Location:

LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2018/11/16,17:00:00,0,106.5190,21.368
2018/11/16,17:15:00,0,106.5300,21.367
2018/11/16,17:30:00,0,106.5310,21.368
2018/11/16,17:45:00,0,106.5320,21.368
2018/11/16,18:00:00,0,106.5300,21.368
2018/11/16,18:15:00,0,106.5280,21.368
2018/11/16,18:30:00,0,106.5620,21.367
2018/11/16,18:45:00,0,106.5510,21.368
2018/11/16,19:00:00,0,106.5560,21.367
2018/11/16,19:15:00,0,106.5720,21.367
2018/11/16,19:30:00,0,106.5910,21.367
2018/11/16,19:45:00,0,106.5880,21.366
2018/11/16,20:00:00,0,106.6060,21.366
2018/11/16,20:15:00,0,106.6020,21.366
2018/11/16,20:30:00,0,106.6110,21.365
2018/11/16,20:45:00,0,106.6210,21.365
2018/11/16,21:00:00,0,106.6320,21.365
2018/11/16,21:15:00,0,106.6440,21.364
2018/11/16,21:30:00,0,106.6570,21.364
2018/11/16,21:45:00,0,106.6650,21.364
2018/11/16,22:00:00,0,106.6770,21.363
2018/11/16,22:15:00,0,106.6780,21.363
2018/11/16,22:30:00,0,106.6730,21.362
2018/11/16,22:45:00,0,106.6740,21.361
2018/11/16,23:00:00,0,106.6880,21.361
2018/11/16,23:15:00,0,106.7050,21.361
2018/11/16,23:30:00,0,106.7120,21.360
2018/11/16,23:45:00,0,106.7180,21.359
2018/11/17,00:00:00,0,106.7310,21.359
2018/11/17,00:15:00,0,106.7350,21.359
2018/11/17,00:30:00,0,106.7410,21.358
2018/11/17,00:45:00,0,106.7450,21.358
2018/11/17,01:00:00,0,106.7590,21.357
2018/11/17,01:15:00,0,106.7660,21.357
2018/11/17,01:30:00,0,106.7620,21.356
2018/11/17,01:45:00,0,106.7720,21.355
2018/11/17,02:00:00,0,106.7640,21.354
2018/11/17,02:15:00,0,106.7740,21.354
2018/11/17,02:30:00,0,106.7770,21.353
2018/11/17,02:45:00,0,106.7810,21.352
2018/11/17,03:00:00,0,106.7810,21.351
2018/11/17,03:15:00,0,106.7810,21.352
2018/11/17,03:30:00,0,106.8000,21.350
2018/11/17,03:45:00,0,106.8000,21.349
2018/11/17,04:00:00,0,106.7980,21.349
2018/11/17,04:15:00,0,106.8210,21.348
2018/11/17,04:30:00,0,106.8340,21.347
2018/11/17,04:45:00,0,106.8350,21.347
2018/11/17,05:00:00,0,106.8320,21.346
2018/11/17,05:15:00,0,106.8400,21.346
2018/11/17,05:30:00,0,106.8400,21.345
2018/11/17,05:45:00,0,106.8470,21.344
2018/11/17,06:00:00,0,106.8490,21.343
2018/11/17,06:15:00,0,106.8570,21.342
2018/11/17,06:30:00,0,106.8620,21.342
2018/11/17,06:45:00,0,106.8760,21.341
2018/11/17,07:00:00,0,106.8820,21.340
2018/11/17,07:15:00,0,106.8920,21.340
2018/11/17,07:30:00,0,106.9120,21.339
2018/11/17,07:45:00,0,106.9210,21.338
2018/11/17,08:00:00,0,106.9240,21.337
2018/11/17,08:15:00,0,106.9410,21.337
2018/11/17,08:30:00,0,106.9400,21.336
2018/11/17,08:45:00,0,106.9590,21.336
2018/11/17,09:00:00,0,106.9690,21.334
2018/11/17,09:15:00,0,106.9630,21.333
2018/11/17,09:30:00,0,106.9680,21.332
2018/11/17,09:45:00,0,106.9660,21.331
2018/11/17,10:00:00,0,106.9630,21.331
2018/11/17,10:15:00,0,106.9630,21.330
2018/11/17,10:30:00,0,106.9560,21.329
2018/11/17,10:45:00,0,106.9460,21.328
2018/11/17,11:00:00,0,106.9350,21.327
2018/11/17,11:15:00,0,106.9290,21.326
2018/11/17,11:30:00,0,106.9110,21.325
2018/11/17,11:45:00,0,106.8910,21.324
2018/11/17,12:00:00,0,106.8760,21.323
2018/11/17,12:15:00,0,106.8520,21.322
2018/11/17,12:30:00,0,106.8250,21.322
2018/11/17,12:45:00,0,106.8120,21.321
2018/11/17,13:00:00,0,106.8120,21.320
2018/11/17,13:15:00,0,106.7810,21.318
2018/11/17,13:30:00,0,106.7750,21.318
2018/11/17,13:45:00,0,106.7630,21.317
2018/11/17,14:00:00,0,106.7620,21.316
2018/11/17,14:15:00,0,106.7540,21.315
2018/11/17,14:30:00,0,106.7470,21.315
2018/11/17,14:45:00,0,106.7270,21.314
2018/11/17,15:00:00,0,106.7270,21.313
2018/11/17,15:15:00,0,106.7450,21.312
2018/11/17,15:30:00,0,106.7620,21.310
2018/11/17,15:45:00,0,106.7750,21.310
2018/11/17,16:00:00,0,106.7810,21.308
2018/11/17,16:15:00,0,106.8120,21.308
2018/11/17,16:30:00,0,106.8460,21.308
2018/11/17,16:45:00,0,106.8500,21.308
2018/11/17,17:00:00,0,106.8550,21.307
2018/11/17,17:15:00,0,106.8550,21.307
2018/11/17,17:30:00,0,106.8560,21.306
2018/11/17,17:45:00,0,106.8850,21.305
2018/11/17,18:00:00,0,106.8840,21.305
2018/11/17,18:15:00,0,106.8760,21.304
2018/11/17,18:30:00,0,106.8800,21.303
2018/11/17,18:45:00,0,106.9210,21.301
2018/11/17,19:00:00,0,106.9310,21.301
2018/11/17,19:15:00,0,106.9440,21.301
2018/11/17,19:30:00,0,106.9320,21.301
2018/11/17,19:45:00,0,106.9390,21.300
2018/11/17,20:00:00,0,106.9530,21.299
2018/11/17,20:15:00,0,106.9720,21.298
2018/11/17,20:30:00,0,106.9820,21.297
2018/11/17,20:45:00,0,106.9890,21.296
2018/11/17,21:00:00,0,107.0010,21.295
2018/11/17,21:15:00,0,107.0270,21.295
2018/11/17,21:30:00,0,107.0370,21.294
2018/11/17,21:45:00,0,107.0350,21.293
2018/11/17,22:00:00,0,107.0470,21.292
2018/11/17,22:15:00,0,107.0480,21.291
2018/11/17,22:30:00,0,107.0480,21.290
2018/11/17,22:45:00,0,107.0620,21.290
2018/11/17,23:00:00,0,107.0830,21.289
2018/11/17,23:15:00,0,107.0760,21.288
2018/11/17,23:30:00,0,107.0690,21.288
2018/11/17,23:45:00,0,107.0870,21.287
2018/11/18,00:00:00,0,107.0960,21.286
2018/11/18,00:15:00,0,107.0940,21.285
2018/11/18,00:30:00,0,107.1450,21.284
2018/11/18,00:45:00,0,107.1100,21.282
2018/11/18,01:00:00,0,107.1170,21.282
2018/11/18,01:15:00,0,107.1270,21.282
2018/11/18,01:30:00,0,107.1410,21.281
2018/11/18,01:45:00,0,107.1500,21.280
2018/11/18,02:00:00,0,107.1560,21.279
2018/11/18,02:15:00,0,107.1630,21.278
2018/11/18,02:30:00,0,107.1660,21.278
2018/11/18,02:45:00,0,107.1690,21.277
2018/11/18,03:00:00,0,107.1710,21.276
2018/11/18,03:15:00,0,107.1800,21.276
2018/11/18,03:30:00,0,107.1760,21.274
2018/11/18,03:45:00,0,107.1760,21.274
2018/11/18,04:00:00,0,107.1870,21.272
2018/11/18,04:15:00,0,107.1970,21.272
2018/11/18,04:30:00,0,107.1900,21.271
2018/11/18,04:45:00,0,107.1920,21.270
2018/11/18,05:00:00,0,107.2100,21.269
2018/11/18,05:15:00,0,107.2340,21.268
2018/11/18,05:30:00,0,107.2370,21.268
2018/11/18,05:45:00,0,107.2520,21.267
2018/11/18,06:00:00,0,107.2600,21.266
2018/11/18,06:15:00,0,107.2720,21.265
2018/11/18,06:30:00,0,107.2810,21.265
2018/11/18,06:45:00,0,107.2890,21.264
2018/11/18,07:00:00,0,107.2920,21.263
2018/11/18,07:15:00,0,107.3120,21.262
2018/11/18,07:30:00,0,107.3350,21.261
2018/11/18,07:45:00,0,107.3640,21.260
2018/11/18,08:00:00,0,107.4070,21.259
2018/11/18,08:15:00,0,107.4100,21.259
2018/11/18,08:30:00,0,107.4020,21.258
2018/11/18,08:45:00,0,107.4340,21.257
2018/11/18,09:00:00,0,107.4330,21.256
2018/11/18,09:15:00,0,107.4380,21.255
2018/11/18,09:30:00,0,107.4280,21.254
2018/11/18,09:45:00,0,107.4180,21.253
2018/11/18,10:00:00,0,107.4140,21.252
2018/11/18,10:15:00,0,107.3980,21.251
2018/11/18,10:30:00,0,107.3680,21.250
2018/11/18,10:45:00,0,107.3780,21.249
2018/11/18,11:00:00,0,107.3680,21.248
2018/11/18,11:15:00,0,107.3550,21.246
2018/11/18,11:30:00,0,107.3370,21.245
2018/11/18,11:45:00,0,107.3180,21.245
2018/11/18,12:00:00,0,107.2740,21.244
2018/11/18,12:15:00,0,107.2780,21.242
2018/11/18,12:30:00,0,107.2600,21.242
2018/11/18,12:45:00,0,107.2750,21.241
2018/11/18,13:00:00,0,107.2280,21.240
2018/11/18,13:15:00,0,107.2110,21.239
2018/11/18,13:30:00,0,107.2130,21.237
2018/11/18,13:45:00,0,107.1960,21.237
2018/11/18,14:00:00,0,107.1720,21.236
2018/11/18,14:15:00,0,107.1530,21.235
2018/11/18,14:30:00,0,107.1300,21.235
2018/11/18,14:45:00,0,107.1290,21.233
2018/11/18,15:00:00,0,107.1560,21.232
2018/11/18,15:15:00,0,107.1190,21.231
2018/11/18,15:30:00,0,107.1040,21.230
2018/11/18,15:45:00,0,107.1550,21.230
2018/11/18,16:00:00,0,107.1740,21.229
2018/11/18,16:15:00,0,107.2010,21.228
2018/11/18,16:30:00,0,107.2480,21.228
2018/11/18,16:45:00,0,107.2410,21.227
2018/11/18,17:00:00,0,107.2150,21.227
2018/11/18,17:15:00,0,107.2390,21.226
2018/11/18,17:30:00,0,107.2380,21.225
2018/11/18,17:45:00,0,107.2320,21.225
2018/11/18,18:00:00,0,107.2180,21.224
2018/11/18,18:15:00,0,107.2150,21.223
2018/11/18,18:30:00,0,107.2200,21.222
2018/11/18,18:45:00,0,107.2710,21.222
2018/11/18,19:00:00,0,107.2870,21.221
2018/11/18,19:15:00,0,107.2960,21.220
2018/11/18,19:30:00,0,107.2980,21.219
2018/11/18,19:45:00,0,107.3200,21.219
2018/11/18,20:00:00,0,107.3170,21.218
2018/11/18,20:15:00,0,107.3250,21.217
2018/11/18,20:30:00,0,107.3360,21.215
2018/11/18,20:45:00,0,107.3500,21.215
2018/11/18,21:00:00,0,107.3720,21.214
2018/11/18,21:15:00,0,107.3840,21.213
2018/11/18,21:30:00,0,107.4340,21.212
2018/11/18,21:45:00,0,107.4040,21.212
2018/11/18,22:00:00,0,107.4230,21.211
2018/11/18,22:15:00,0,107.4300,21.210
2018/11/18,22:30:00,0,107.4370,21.209
2018/11/18,22:45:00,0,107.4360,21.208
2018/11/18,23:00:00,0,107.4440,21.208
2018/11/18,23:15:00,0,107.4430,21.207
2018/11/18,23:30:00,0,107.4530,21.206
2018/11/18,23:45:00,0,107.4730,21.205
2018/11/19,00:00:00,0,107.4840,21.205
2018/11/19,00:15:00,0,107.4850,21.204
2018/11/19,00:30:00,0,107.4740,21.203
2018/11/19,00:45:00,0,107.4880,21.202
2018/11/19,01:00:00,0,107.4720,21.201
2018/11/19,01:15:00,0,107.4680,21.200
2018/11/19,01:30:00,0,107.4760,21.199
2018/11/19,01:45:00,0,107.4890,21.198
2018/11/19,02:00:00,0,107.5080,21.198
2018/11/19,02:15:00,0,107.5060,21.197
2018/11/19,02:30:00,0,107.5090,21.196
2018/11/19,02:45:00,0,107.4960,21.195
2018/11/19,03:00:00,0,107.4810,21.195
2018/11/19,03:15:00,0,107.4820,21.194
2018/11/19,03:30:00,0,107.4730,21.193
2018/11/19,03:45:00,0,107.4530,21.192
2018/11/19,04:00:00,0,107.4340,21.191
2018/11/19,04:15:00,0,107.4280,21.190
2018/11/19,04:30:00,0,107.4340,21.189
2018/11/19,04:45:00,0,107.4340,21.188
2018/11/19,05:00:00,0,107.4430,21.187
2018/11/19,05:15:00,0,107.4450,21.187
2018/11/19,05:30:00,0,107.4530,21.186
2018/11/19,05:45:00,0,107.4830,21.185
2018/11/19,06:00:00,0,107.4640,21.184
2018/11/19,06:15:00,0,107.4770,21.184
2018/11/19,06:30:00,0,107.5000,21.182
2018/11/19,06:45:00,0,107.5060,21.182
2018/11/19,07:00:00,0,107.5190,21.181
2018/11/19,07:15:00,0,107.5120,21.180
2018/11/19,07:30:00,0,107.5250,21.179
2018/11/19,07:45:00,0,107.5220,21.178
2018/11/19,08:00:00,0,107.5170,21.177
2018/11/19,08:15:00,0,107.5260,21.177
2018/11/19,08:30:00,0,107.5350,21.176
2018/11/19,08:45:00,0,107.5480,21.175
2018/11/19,09:00:00,0,107.5360,21.174
2018/11/19,09:15:00,0,107.5500,21.173
2018/11/19,09:30:00,0,107.5630,21.172
2018/11/19,09:45:00,0,107.5720,21.171
2018/11/19,10:00:00,0,107.5780,21.170
2018/11/19,10:15:00,0,107.5730,21.169
2018/11/19,10:30:00,0,107.5520,21.168
2018/11/19,10:45:00,0,107.5430,21.167
