Serial_number:,,
263413,,
Project ID:,,
ERCZO,,
Location:,,
Rancho Venada MH0 - near Jerry's house,,
RainFall,,
UNIT: mm,,
Rain Cal. Constant: 0.254000 mm,,
Date,Time,RainFall
2/17/17,2:53:09 PM,9.144
2/18/17,2:53:09 PM,19.558001
2/19/17,2:53:09 PM,46.990001
2/20/17,2:53:09 PM,64.262002
2/21/17,2:53:09 PM,4.064
2/22/17,2:53:09 PM,1.27
2/23/17,2:53:09 PM,0
2/24/17,2:53:09 PM,0.508
2/25/17,2:53:09 PM,2.54
2/26/17,2:53:09 PM,6.096
2/27/17,2:53:09 PM,0
2/28/17,2:53:09 PM,0
3/1/17,2:53:09 PM,0
3/2/17,2:53:09 PM,0
3/3/17,2:53:09 PM,11.938
3/4/17,2:53:09 PM,34.544001
3/5/17,2:53:09 PM,21.336001
3/6/17,2:53:09 PM,7.366
3/7/17,2:53:09 PM,1.524
3/8/17,2:53:09 PM,0
3/9/17,2:53:09 PM,0
3/10/17,2:53:09 PM,0
3/11/17,2:53:09 PM,0
3/12/17,2:53:09 PM,0
3/13/17,2:53:09 PM,0
3/14/17,2:53:09 PM,0
3/15/17,2:53:09 PM,3.302
3/16/17,2:53:09 PM,0
3/17/17,2:53:09 PM,1.016
3/18/17,2:53:09 PM,0.254
3/19/17,2:53:09 PM,5.08
3/20/17,2:53:09 PM,22.606001
3/21/17,2:53:09 PM,18.288001
3/22/17,2:53:09 PM,0
3/23/17,2:53:09 PM,54.356002
3/24/17,2:53:09 PM,0.508
3/25/17,2:53:09 PM,6.858
3/26/17,2:53:09 PM,6.858
3/27/17,2:53:09 PM,0
3/28/17,2:53:09 PM,0
3/29/17,2:53:09 PM,4.064
3/30/17,2:53:09 PM,0
3/31/17,2:53:09 PM,0
4/1/17,2:53:09 PM,0
4/2/17,2:53:09 PM,0
4/3/17,2:53:09 PM,0
4/4/17,2:53:09 PM,0
4/5/17,2:53:09 PM,11.43
4/6/17,2:53:09 PM,45.974001
4/7/17,2:53:09 PM,23.114001
4/8/17,2:53:09 PM,0.254
4/9/17,2:53:09 PM,2.286
4/10/17,2:53:09 PM,7.366
4/11/17,2:53:09 PM,6.604
4/12/17,2:53:09 PM,27.686001
4/13/17,2:53:09 PM,0
4/14/17,2:53:09 PM,0
4/15/17,2:53:09 PM,9.398
4/16/17,2:53:09 PM,1.27
4/17/17,2:53:09 PM,18.288001
4/18/17,2:53:09 PM,0.254
4/19/17,2:53:09 PM,16.764001
4/20/17,2:53:09 PM,0
4/21/17,2:53:09 PM,2.286
4/22/17,2:53:09 PM,0
4/23/17,2:53:09 PM,10.414
4/24/17,2:53:09 PM,0
4/25/17,2:53:09 PM,4.318
4/26/17,2:53:09 PM,0
4/27/17,2:53:09 PM,0
4/28/17,2:53:09 PM,0
4/29/17,2:53:09 PM,0
4/30/17,2:53:09 PM,0
5/1/17,2:53:09 PM,0
5/2/17,2:53:09 PM,0
5/3/17,2:53:09 PM,0
5/4/17,2:53:09 PM,0
5/5/17,2:53:09 PM,0
5/6/17,2:53:09 PM,0
5/7/17,2:53:09 PM,0
5/8/17,2:53:09 PM,0
5/9/17,2:53:09 PM,0
5/10/17,2:53:09 PM,1.524
5/11/17,2:53:09 PM,0.762
5/12/17,2:53:09 PM,0.254
5/13/17,2:53:09 PM,0
5/14/17,2:53:09 PM,0
5/15/17,2:53:09 PM,0
5/16/17,2:53:09 PM,1.27
5/17/17,2:53:09 PM,0
5/18/17,2:53:09 PM,0
5/19/17,2:53:09 PM,0
5/20/17,2:53:09 PM,0
5/21/17,2:53:09 PM,0
5/22/17,2:53:09 PM,0
5/23/17,2:53:09 PM,0
5/24/17,2:53:09 PM,0
5/25/17,2:53:09 PM,0
5/26/17,2:53:09 PM,0
5/27/17,2:53:09 PM,0
5/28/17,2:53:09 PM,0
5/29/17,2:53:09 PM,0
5/30/17,2:53:09 PM,0
5/31/17,2:53:09 PM,0
6/1/17,2:53:09 PM,0
6/2/17,2:53:09 PM,0
6/3/17,2:53:09 PM,0
6/4/17,2:53:09 PM,0
6/5/17,2:53:09 PM,0
6/6/17,2:53:09 PM,0
6/7/17,2:53:09 PM,15.494
6/8/17,2:53:09 PM,0
6/9/17,2:53:09 PM,0
6/10/17,2:53:09 PM,0.762
6/11/17,2:53:09 PM,0
6/12/17,2:53:09 PM,0
6/13/17,2:53:09 PM,0
6/14/17,2:53:09 PM,0
6/15/17,2:53:09 PM,0
6/16/17,2:53:09 PM,0
6/17/17,2:53:09 PM,0
6/18/17,2:53:09 PM,0
6/19/17,2:53:09 PM,0
6/20/17,2:53:09 PM,0
6/21/17,2:53:09 PM,0
6/22/17,2:53:09 PM,0
6/23/17,2:53:09 PM,0
6/24/17,2:53:09 PM,0
